id,code,parent_id,title,meta_section,position
1,meta_fantastika,,Фантастика,,1
2,meta_detektivy_i_trillery,,Детективы и триллеры,,2
3,meta_dom_i_semya,,Дом и семья,,3
4,meta_proza,,Проза,,4
5,meta_lyubovnye_romany,,Любовные романы,,5
6,meta_priklyucheniya,,Приключения,,6
7,meta_detskaya_literatura_skazki,,Детская литература: сказки,,7
8,meta_detskaya_hudozhestvennaya_literatura,,Детская художественная литература,,8
9,meta_religiya_duhovnost_ezoterika,,"Религия, духовность, эзотерика",,9
10,meta_detskaya_literatura_prochee,,Детская литература: прочее,,10
11,meta_poeziya,,Поэзия,,11
12,meta_dramaturgiya,,Драматургия,,12
13,meta_starinnoe,,Старинное,,13
14,meta_folklor,,Фольклор,,14
15,meta_nauka_obrazovanie,,"Наука, Образование",,15
16,meta_iskusstvo_iskusstvovedenie_dizayn,,"Искусство, Искусствоведение, Дизайн",,16
17,meta_tehnika,,Техника,,17
18,meta_kompyutery_i_internet,,Компьютеры и Интернет,,18
19,meta_spravochnaya_literatura,,Справочная литература,,19
20,meta_dokumentalnaya_literatura,,Документальная литература,,20
21,meta_yumor,,Юмор,,21
22,meta_prochee,,Прочее,,22
23,meta_delovaya_literatura,,Деловая литература,,23
24,meta_uchebniki_i_posobiya,,Учебники и пособия,,24
25,sf_history,1,Альтернативная история,Фантастика,1
26,sf_action,1,Боевая фантастика и фэнтези,Фантастика,2
27,sf_epic,1,Эпическая фантастика и фэнтези,Фантастика,3
28,sf_heroic,1,Героическая фантастика и фэнтези,Фантастика,4
29,sf_detective,1,Детективная фантастика,Фантастика,5
30,sf_cyberpunk,1,Киберпанк,Фантастика,6
31,sf_space,1,Космическая фантастика,Фантастика,7
32,sf_social,1,Социально-психологическая фантастика,Фантастика,8
33,sf_horror,1,Ужасы,Фантастика,9
34,sf_humor,1,Юмористическая фантастика и фэнтези,Фантастика,10
35,sf_fantasy,1,Фэнтези,Фантастика,11
36,sf,1,Научная фантастика,Фантастика,12
37,det_classic,2,Классический детектив,Детективы и триллеры,13
38,det_police,2,Полицейский детектив,Детективы и триллеры,14
39,det_action,2,Боевик,Детективы и триллеры,15
40,det_irony,2,Иронический детектив,Детективы и триллеры,16
41,sci_psychology_popular,3,Популярная психология,Дом и семья,293
42,det_history,2,Исторический детектив,Детективы и триллеры,17
43,det_espionage,2,Шпионский детектив,Детективы и триллеры,18
44,det_crime,2,Криминальный детектив,Детективы и триллеры,19
45,det_political,2,Политический детектив,Детективы и триллеры,20
46,det_maniac,2,Про маньяков,Детективы и триллеры,21
47,det_hard,2,Крутой детектив,Детективы и триллеры,22
48,thriller,2,Триллер,Детективы и триллеры,23
49,detective,2,Детективы,Детективы и триллеры,24
50,prose,4,Проза,Проза,25
51,prose_classic,4,Классическая проза,Проза,26
52,prose_history,4,Историческая проза,Проза,27
53,prose_contemporary,4,Современная русская и зарубежная проза,Проза,28
54,prose_counter,4,Контркультура,Проза,29
55,prose_rus_classic,4,Русская классическая проза,Проза,30
56,prose_su_classics,4,Советская классическая проза,Проза,31
57,love_contemporary,5,Современные любовные романы,Любовные романы,32
58,love_history,5,Исторические любовные романы,Любовные романы,33
59,love_detective,5,Остросюжетные любовные романы,Любовные романы,34
60,love_short,5,Короткие любовные романы,Любовные романы,35
61,love_erotica,5,Эротическая литература,Любовные романы,36
62,love,5,Любовные романы,Любовные романы,37
63,adv_history,6,Исторические приключения,Приключения,39
64,adv_indian,6,"Вестерн, про индейцев",Приключения,40
65,adv_maritime,6,Морские приключения,Приключения,41
66,adv_geo,6,Путешествия и география,Приключения,42
67,adv_animal,6,Природа и животные,Приключения,43
68,adventure,6,Приключения,Приключения,44
69,child_tale,7,Литературные и народные сказки: прочее,Детская литература: сказки,45
70,child_verse,8,Стихи для детей и подростков,Детская художественная литература,46
71,child_prose,8,Детская проза: прочее,Детская художественная литература,47
72,religion_budda,9,Буддизм,"Религия, духовность, эзотерика",128
73,child_sf,8,Детская фантастика: прочее,Детская художественная литература,48
74,child_det,8,Детские остросюжетные: прочее,Детская художественная литература,49
75,child_adv,8,Детская проза: приключения,Детская художественная литература,50
76,child_education,10,Детская образовательная литература,Детская литература: прочее,51
77,children,10,Детская литература: прочее,Детская литература: прочее,52
78,poetry,11,Поэзия,Поэзия,53
79,dramaturgy,12,Драматургия,Драматургия,54
80,antique_ant,13,Античная литература,Старинное,55
81,antique_european,13,Европейская старинная литература,Старинное,56
82,antique_russian,13,Древнерусская литература,Старинное,57
83,antique_east,13,Древневосточная литература,Старинное,58
